referencia,referencia_data,ativo,idtempo,idreserva,idsituacao,situacao,sigla,tempo,data_cad
14028,2025-04-07 16:33:09,S,14028,2471,23,Análise de proposta (Diretoria) (1),,6,2025-04-07 16:33:09
14029,2025-04-07 16:33:11,S,14029,2264,1,Reserva (7),,109529,2025-04-07 16:33:11
14030,2025-04-07 16:35:14,S,14030,2270,1,Reserva (7),,109530,2025-04-07 16:35:14
14031,2025-04-07 16:38:49,S,14031,1952,23,Análise de proposta (Diretoria) (1),,14,2025-04-07 16:38:49
14032,2025-04-07 16:41:11,S,14032,2500,1,Reserva (7),,10272,2025-04-07 16:41:11
14033,2025-04-07 16:46:05,S,14033,2411,1,Reserva (7),,68017,2025-04-07 16:46:05
14034,2025-04-07 16:49:41,S,14034,2471,26,Crédito (Interno) (2),,16,2025-04-07 16:49:41
14035,2025-04-07 16:52:10,S,14035,2572,1,Reserva (7),,115,2025-04-07 16:52:10
14036,2025-04-07 17:08:40,S,14036,1972,20,Negociação (5),,46253,2025-04-07 17:08:40
14037,2025-04-07 17:20:56,S,14037,2411,19,Crédito (CEF) (3),,34,2025-04-07 17:20:56
14038,2025-04-07 17:21:13,S,14038,1960,20,Negociação (5),,27703,2025-04-07 17:21:13
14039,2025-04-07 17:22:41,S,14039,2402,16,Contrato - Elaboração (2),,416,2025-04-07 17:22:41
14040,2025-04-07 17:30:47,S,14040,2449,26,Crédito (Interno) (2),,185,2025-04-07 17:30:47
14041,2025-04-07 17:38:43,S,14041,2470,26,Crédito (Interno) (2),,66,2025-04-07 17:38:43
14042,2025-04-07 17:40:08,S,14042,2357,19,Crédito (CEF) (3),,4716,2025-04-07 17:40:08
14043,2025-04-07 17:47:28,S,14043,2560,20,Negociação (5),,5810,2025-04-07 17:47:28
14044,2025-04-07 17:48:46,S,14044,2299,26,Crédito (Interno) (2),,205,2025-04-07 17:48:46
14045,2025-04-07 17:49:56,S,14045,1952,20,Negociação (5),,71,2025-04-07 17:49:56
14046,2025-04-07 17:51:38,S,14046,2121,20,Negociação (5),,14727,2025-04-07 17:51:38
14047,2025-04-07 17:55:02,S,14047,2184,26,Crédito (Interno) (2),,135,2025-04-07 17:55:02
14048,2025-04-07 17:56:50,S,14048,2313,20,Negociação (5),,18785,2025-04-07 17:56:50
14049,2025-04-07 17:57:42,S,14049,2180,26,Crédito (Interno) (2),,93,2025-04-07 17:57:42
14050,2025-04-07 18:15:07,S,14050,2180,20,Negociação (5),,17,2025-04-07 18:15:07
14051,2025-04-07 18:15:10,S,14051,2180,23,Análise de proposta (Diretoria) (1),,0,2025-04-07 18:15:10
14052,2025-04-07 18:28:53,S,14052,1932,20,Negociação (5),,7329,2025-04-07 18:28:53
14053,2025-04-07 19:06:21,S,14053,2125,20,Negociação (5),,20231,2025-04-07 19:06:21
14054,2025-04-07 19:16:46,S,14054,2411,20,Negociação (5),,115,2025-04-07 19:16:46
14055,2025-04-07 19:25:43,S,14055,1933,20,Negociação (5),,7671,2025-04-07 19:25:43
14056,2025-04-07 19:31:47,S,14056,1934,20,Negociação (5),,44765,2025-04-07 19:31:47
14057,2025-04-07 19:42:44,S,14057,1964,20,Negociação (5),,29049,2025-04-07 19:42:44
14058,2025-04-07 19:52:57,S,14058,1988,20,Negociação (5),,24641,2025-04-07 19:52:57
14059,2025-04-07 20:04:29,S,14059,2563,1,Reserva (7),,6118,2025-04-07 20:04:29
14060,2025-04-08 08:11:44,S,14060,2471,16,Contrato - Elaboração (2),,922,2025-04-08 08:11:44
14061,2025-04-08 08:41:44,S,14061,2470,16,Contrato - Elaboração (2),,903,2025-04-08 08:41:44
14062,2025-04-08 08:56:32,S,14062,2560,23,Análise de proposta (Diretoria) (1),,909,2025-04-08 08:56:32
14063,2025-04-08 09:01:25,S,14063,2121,23,Análise de proposta (Diretoria) (1),,909,2025-04-08 09:01:25
14064,2025-04-08 09:03:07,S,14064,1964,23,Análise de proposta (Diretoria) (1),,800,2025-04-08 09:03:07
14065,2025-04-08 09:03:14,S,14065,2116,20,Negociação (5),,36907,2025-04-08 09:03:14
14066,2025-04-08 09:04:18,S,14066,1960,23,Análise de proposta (Diretoria) (1),,943,2025-04-08 09:04:18
14067,2025-04-08 09:05:27,S,14067,1952,23,Análise de proposta (Diretoria) (1),,915,2025-04-08 09:05:27
14068,2025-04-08 09:06:18,S,14068,1934,23,Análise de proposta (Diretoria) (1),,814,2025-04-08 09:06:18
14069,2025-04-08 09:10:59,S,14069,1933,23,Análise de proposta (Diretoria) (1),,825,2025-04-08 09:10:59
14070,2025-04-08 09:13:41,S,14070,1932,23,Análise de proposta (Diretoria) (1),,884,2025-04-08 09:13:41
14071,2025-04-08 09:15:48,S,14071,1988,23,Análise de proposta (Diretoria) (1),,802,2025-04-08 09:15:48
14072,2025-04-08 09:17:35,S,14072,2125,23,Análise de proposta (Diretoria) (1),,851,2025-04-08 09:17:35
14073,2025-04-08 09:34:31,S,14073,2154,26,Crédito (Interno) (2),,1143,2025-04-08 09:34:31
14074,2025-04-08 10:30:23,S,14074,1983,26,Crédito (Interno) (2),,1154,2025-04-08 10:30:23
14075,2025-04-08 10:33:42,S,14075,2141,26,Crédito (Interno) (2),,1159,2025-04-08 10:33:42
14076,2025-04-08 10:34:47,S,14076,2453,26,Crédito (Interno) (2),,5357,2025-04-08 10:34:47
14077,2025-04-08 10:38:14,S,14077,2141,20,Negociação (5),,4,2025-04-08 10:38:14
14078,2025-04-08 10:52:40,S,14078,2453,20,Negociação (5),,17,2025-04-08 10:52:40
14079,2025-04-08 11:03:53,S,14079,2453,23,Análise de proposta (Diretoria) (1),,11,2025-04-08 11:03:53
14080,2025-04-08 11:04:50,S,14080,2141,23,Análise de proposta (Diretoria) (1),,26,2025-04-08 11:04:50
14081,2025-04-08 11:09:09,S,14081,2399,20,Negociação (5),,38945,2025-04-08 11:09:09
14082,2025-04-08 11:44:13,S,14082,2453,26,Crédito (Interno) (2),,40,2025-04-08 11:44:13
14083,2025-04-08 11:46:47,S,14083,2500,19,Crédito (CEF) (3),,1145,2025-04-08 11:46:47
14084,2025-04-08 11:52:01,S,14084,2560,26,Crédito (Interno) (2),,175,2025-04-08 11:52:01
14085,2025-04-08 11:53:34,S,14085,2370,19,Crédito (CEF) (3),,8488,2025-04-08 11:53:34
14086,2025-04-08 11:57:26,S,14086,2006,19,Crédito (CEF) (3),,7054,2025-04-08 11:57:26
14087,2025-04-08 11:59:19,S,14087,2557,1,Reserva (7),,8736,2025-04-08 11:59:19
14088,2025-04-08 12:02:43,S,14088,2313,19,Crédito (CEF) (3),,1085,2025-04-08 12:02:43
14089,2025-04-08 13:49:11,S,14089,2118,1,Reserva (7),,11542,2025-04-08 13:49:11
14090,2025-04-08 13:55:02,S,14090,1921,26,Crédito (Interno) (2),,5548,2025-04-08 13:55:02
14091,2025-04-08 13:56:11,S,14091,2116,1,Reserva (7),,292,2025-04-08 13:56:11
14092,2025-04-08 13:57:22,S,14092,1921,20,Negociação (5),,2,2025-04-08 13:57:22
14093,2025-04-08 13:57:45,S,14093,2312,26,Crédito (Interno) (2),,1304,2025-04-08 13:57:45
14094,2025-04-08 13:57:48,S,14094,2312,20,Negociação (5),,0,2025-04-08 13:57:48
14095,2025-04-08 13:58:01,S,14095,1983,16,Contrato - Elaboração (2),,207,2025-04-08 13:58:01
14096,2025-04-08 14:00:38,S,14096,2118,19,Crédito (CEF) (3),,11,2025-04-08 14:00:38
14097,2025-04-08 14:00:44,S,14097,2118,21,Crédito reprovado (CEF) (2),,0,2025-04-08 14:00:44
14098,2025-04-08 14:01:15,S,14098,2399,23,Análise de proposta (Diretoria) (1),,172,2025-04-08 14:01:15
14099,2025-04-08 14:03:47,S,14099,2312,23,Análise de proposta (Diretoria) (1),,5,2025-04-08 14:03:47
14100,2025-04-08 14:04:09,S,14100,2118,1,Reserva (7),,3,2025-04-08 14:04:09
14101,2025-04-08 14:05:46,S,14101,1921,23,Análise de proposta (Diretoria) (1),,8,2025-04-08 14:05:46
14102,2025-04-08 14:06:37,S,14102,2312,26,Crédito (Interno) (2),,2,2025-04-08 14:06:37
14103,2025-04-08 14:10:43,S,14103,2472,20,Negociação (5),,19031,2025-04-08 14:10:43
14104,2025-04-08 14:14:17,S,14104,2560,16,Contrato - Elaboração (2),,142,2025-04-08 14:14:17
14105,2025-04-08 14:14:22,S,14105,2560,20,Negociação (5),,0,2025-04-08 14:14:22
14106,2025-04-08 14:15:01,S,14106,2560,23,Análise de proposta (Diretoria) (1),,0,2025-04-08 14:15:01
14107,2025-04-08 14:15:05,S,14107,2560,26,Crédito (Interno) (2),,0,2025-04-08 14:15:05
14108,2025-04-08 14:17:50,S,14108,2116,19,Crédito (CEF) (3),,21,2025-04-08 14:17:50
14109,2025-04-08 14:32:40,S,14109,2550,1,Reserva (7),,11582,2025-04-08 14:32:40
14110,2025-04-08 14:42:17,S,14110,2545,1,Reserva (7),,11592,2025-04-08 14:42:17
14111,2025-04-08 14:57:17,S,14111,1983,20,Negociação (5),,59,2025-04-08 14:57:17
14112,2025-04-08 15:00:45,S,14112,2003,20,Negociação (5),,21424,2025-04-08 15:00:45
14113,2025-04-08 15:08:45,S,14113,2003,23,Análise de proposta (Diretoria) (1),,8,2025-04-08 15:08:45
14114,2025-04-08 15:09:20,S,14114,1983,23,Análise de proposta (Diretoria) (1),,12,2025-04-08 15:09:20
14115,2025-04-08 15:22:01,S,14115,2047,20,Negociação (5),,35971,2025-04-08 15:22:01
14116,2025-04-08 15:32:57,S,14116,2047,23,Análise de proposta (Diretoria) (1),,10,2025-04-08 15:32:57
14117,2025-04-08 15:34:06,S,14117,2411,23,Análise de proposta (Diretoria) (1),,1217,2025-04-08 15:34:06
14118,2025-04-08 15:46:49,S,14118,2006,20,Negociação (5),,229,2025-04-08 15:46:49
14119,2025-04-08 16:05:53,S,14119,1952,20,Negociação (5),,420,2025-04-08 16:05:53
14120,2025-04-08 16:06:10,S,14120,1952,23,Análise de proposta (Diretoria) (1),,0,2025-04-08 16:06:10
14121,2025-04-08 16:06:42,S,14121,1952,20,Negociação (5),,0,2025-04-08 16:06:42
14122,2025-04-08 16:07:04,S,14122,1952,23,Análise de proposta (Diretoria) (1),,0,2025-04-08 16:07:04
14123,2025-04-08 16:22:50,S,14123,2313,20,Negociação (5),,260,2025-04-08 16:22:50
14124,2025-04-08 16:25:47,S,14124,1952,20,Negociação (5),,18,2025-04-08 16:25:47
14125,2025-04-08 16:25:52,S,14125,1952,1,Reserva (7),,0,2025-04-08 16:25:52
14126,2025-04-08 16:35:10,S,14126,2313,23,Análise de proposta (Diretoria) (1),,12,2025-04-08 16:35:10
14127,2025-04-08 16:50:57,S,14127,2209,20,Negociação (5),,42191,2025-04-08 16:50:57
14128,2025-04-08 16:53:24,S,14128,2500,20,Negociação (5),,306,2025-04-08 16:53:24
14129,2025-04-08 16:56:53,S,14129,2006,23,Análise de proposta (Diretoria) (1),,70,2025-04-08 16:56:53
14130,2025-04-08 17:09:24,S,14130,2209,1,Reserva (7),,18,2025-04-08 17:09:24
14131,2025-04-08 17:09:39,S,14131,2209,20,Negociação (5),,0,2025-04-08 17:09:39
14132,2025-04-08 17:15:24,S,14132,2577,1,Reserva (7),,20,2025-04-08 17:15:24
14133,2025-04-08 17:23:09,S,14133,1939,1,Reserva (7),,11759,2025-04-08 17:23:09
14134,2025-04-09 08:17:01,S,14134,2313,26,Crédito (Interno) (2),,941,2025-04-09 08:17:01
14135,2025-04-09 08:33:46,S,14135,2352,26,Crédito (Interno) (2),,7058,2025-04-09 08:33:46
14136,2025-04-09 09:06:40,S,14136,1951,26,Crédito (Interno) (2),,2452,2025-04-09 09:06:40
14137,2025-04-09 09:09:17,S,14137,2560,16,Contrato - Elaboração (2),,1134,2025-04-09 09:09:17
14138,2025-04-09 09:09:29,S,14138,2558,16,Contrato - Elaboração (2),,7246,2025-04-09 09:09:29
14139,2025-04-09 09:10:09,S,14139,1981,16,Contrato - Elaboração (2),,6676,2025-04-09 09:10:09
14140,2025-04-09 09:10:28,S,14140,1943,16,Contrato - Elaboração (2),,2894,2025-04-09 09:10:28
14141,2025-04-09 09:10:44,S,14141,1935,16,Contrato - Elaboração (2),,6752,2025-04-09 09:10:44
14142,2025-04-09 09:10:56,S,14142,1912,16,Contrato - Elaboração (2),,6820,2025-04-09 09:10:56
14143,2025-04-09 09:11:16,S,14143,2361,16,Contrato - Elaboração (2),,2827,2025-04-09 09:11:16
14144,2025-04-09 09:11:28,S,14144,2415,16,Contrato - Elaboração (2),,2825,2025-04-09 09:11:28
14145,2025-04-09 09:11:43,S,14145,2133,16,Contrato - Elaboração (2),,2747,2025-04-09 09:11:43
14146,2025-04-09 09:12:11,S,14146,2449,16,Contrato - Elaboração (2),,2381,2025-04-09 09:12:11
14147,2025-04-09 09:12:25,S,14147,2431,16,Contrato - Elaboração (2),,2487,2025-04-09 09:12:25
14148,2025-04-09 09:12:36,S,14148,2299,16,Contrato - Elaboração (2),,2363,2025-04-09 09:12:36
14149,2025-04-09 09:12:55,S,14149,2184,16,Contrato - Elaboração (2),,2357,2025-04-09 09:12:55
14150,2025-04-09 09:13:10,S,14150,2154,16,Contrato - Elaboração (2),,1418,2025-04-09 09:13:10
14151,2025-04-09 09:13:40,S,14151,2453,16,Contrato - Elaboração (2),,1289,2025-04-09 09:13:40
14152,2025-04-09 09:14:02,S,14152,2312,16,Contrato - Elaboração (2),,1147,2025-04-09 09:14:02
14153,2025-04-09 10:01:10,S,14153,2550,19,Crédito (CEF) (3),,1168,2025-04-09 10:01:10
14154,2025-04-09 10:14:03,S,14154,2141,26,Crédito (Interno) (2),,1389,2025-04-09 10:14:03
14155,2025-04-09 10:26:40,S,14155,2282,1,Reserva (7),,112039,2025-04-09 10:26:40
14156,2025-04-09 10:31:45,S,14156,2047,26,Crédito (Interno) (2),,1138,2025-04-09 10:31:45
14157,2025-04-09 10:45:03,S,14157,2500,23,Análise de proposta (Diretoria) (1),,1071,2025-04-09 10:45:03
14158,2025-04-09 10:46:21,S,14158,2209,23,Análise de proposta (Diretoria) (1),,1056,2025-04-09 10:46:21
14159,2025-04-09 10:59:43,S,14159,2006,26,Crédito (Interno) (2),,1082,2025-04-09 10:59:43
14160,2025-04-09 11:11:59,S,14160,2209,26,Crédito (Interno) (2),,25,2025-04-09 11:11:59
14161,2025-04-09 11:33:59,S,14161,1983,26,Crédito (Interno) (2),,1224,2025-04-09 11:33:59
14162,2025-04-09 11:44:34,S,14162,2209,16,Contrato - Elaboração (2),,32,2025-04-09 11:44:34
14163,2025-04-09 11:51:34,S,14163,2209,20,Negociação (5),,7,2025-04-09 11:51:34
14164,2025-04-09 11:51:38,S,14164,2209,1,Reserva (7),,0,2025-04-09 11:51:38
14165,2025-04-09 14:26:51,S,14165,2554,24,Contrato - Assinatura (5),,3200,2025-04-09 14:26:51
14166,2025-04-09 15:00:21,S,14166,2549,1,Reserva (7),,6065,2025-04-09 15:00:21
14167,2025-04-09 15:02:58,S,14167,2568,1,Reserva (7),,7370,2025-04-09 15:02:58
14168,2025-04-09 15:09:51,S,14168,2116,20,Negociação (5),,1492,2025-04-09 15:09:51
14169,2025-04-09 15:14:19,S,14169,2473,1,Reserva (7),,11561,2025-04-09 15:14:19
14170,2025-04-09 15:21:29,S,14170,2556,1,Reserva (7),,8704,2025-04-09 15:21:29
14171,2025-04-09 15:26:04,S,14171,2554,27,Contrato Assinado (1),,59,2025-04-09 15:26:04
14172,2025-04-09 15:26:05,S,14172,2554,17,Sienge,,0,2025-04-09 15:26:05
14173,2025-04-09 15:33:46,S,14173,2554,17,Sienge,,7,2025-04-09 15:33:46
14174,2025-04-09 15:39:57,S,14174,2370,20,Negociação (5),,1666,2025-04-09 15:39:57
14175,2025-04-09 15:41:18,S,14175,2524,19,Crédito (CEF) (3),,8878,2025-04-09 15:41:18
14176,2025-04-09 16:08:13,S,14176,2556,19,Crédito (CEF) (3),,46,2025-04-09 16:08:13
14177,2025-04-09 16:08:33,S,14177,2575,1,Reserva (7),,1772,2025-04-09 16:08:33
14178,2025-04-09 16:28:33,S,14178,2370,23,Análise de proposta (Diretoria) (1),,48,2025-04-09 16:28:33
14179,2025-04-09 16:31:32,S,14179,2116,23,Análise de proposta (Diretoria) (1),,81,2025-04-09 16:31:32
14180,2025-04-09 16:40:52,S,14180,2282,19,Crédito (CEF) (3),,374,2025-04-09 16:40:52
14181,2025-04-09 16:53:25,S,14181,2209,19,Crédito (CEF) (3),,301,2025-04-09 16:53:25
14182,2025-04-09 16:55:52,S,14182,2473,19,Crédito (CEF) (3),,101,2025-04-09 16:55:52
14183,2025-04-09 16:56:30,S,14183,2401,1,Reserva (7),,78208,2025-04-09 16:56:30
14184,2025-04-09 17:27:51,S,14184,2473,21,Crédito reprovado (CEF) (2),,31,2025-04-09 17:27:51
14185,2025-04-09 17:40:55,S,14185,2578,1,Reserva (7),,1468,2025-04-09 17:40:55
14186,2025-04-09 18:22:11,S,14186,2209,20,Negociação (5),,88,2025-04-09 18:22:11
14187,2025-04-10 08:28:31,S,14187,2209,23,Análise de proposta (Diretoria) (1),,846,2025-04-10 08:28:31
14188,2025-04-10 09:34:07,S,14188,2524,21,Crédito reprovado (CEF) (2),,1072,2025-04-10 09:34:07
14189,2025-04-10 09:34:12,S,14189,2524,1,Reserva (7),,0,2025-04-10 09:34:12
14190,2025-04-10 09:38:15,S,14190,2524,20,Negociação (5),,4,2025-04-10 09:38:15
14191,2025-04-10 09:39:13,S,14191,2524,1,Reserva (7),,0,2025-04-10 09:39:13
14192,2025-04-10 10:05:29,S,14192,2120,20,Negociação (5),,38502,2025-04-10 10:05:29
14193,2025-04-10 10:31:10,S,14193,2557,19,Crédito (CEF) (3),,2791,2025-04-10 10:31:10
14194,2025-04-10 10:31:15,S,14194,2557,20,Negociação (5),,0,2025-04-10 10:31:15
14195,2025-04-10 10:40:17,S,14195,2572,19,Crédito (CEF) (3),,3948,2025-04-10 10:40:17
14196,2025-04-10 10:58:19,S,14196,2557,23,Análise de proposta (Diretoria) (1),,27,2025-04-10 10:58:19
14197,2025-04-10 11:03:03,S,14197,2120,23,Análise de proposta (Diretoria) (1),,57,2025-04-10 11:03:03
14198,2025-04-10 11:21:43,S,14198,2503,1,Reserva (7),,14272,2025-04-10 11:21:43
14199,2025-04-10 11:48:09,S,14199,2572,20,Negociação (5),,67,2025-04-10 11:48:09
14200,2025-04-10 12:13:53,S,14200,2575,19,Crédito (CEF) (3),,1205,2025-04-10 12:13:53
14201,2025-04-10 12:31:08,S,14201,2266,1,Reserva (7),,113606,2025-04-10 12:31:08
14202,2025-04-10 12:31:36,S,14202,2317,1,Reserva (7),,103827,2025-04-10 12:31:36
14203,2025-04-10 13:52:09,S,14203,2313,16,Contrato - Elaboração (2),,1775,2025-04-10 13:52:09
14204,2025-04-10 13:52:20,S,14204,2141,16,Contrato - Elaboração (2),,1658,2025-04-10 13:52:20
14205,2025-04-10 14:10:05,S,14205,2557,26,Crédito (Interno) (2),,191,2025-04-10 14:10:05
14206,2025-04-10 14:29:31,S,14206,2120,26,Crédito (Interno) (2),,206,2025-04-10 14:29:31
14207,2025-04-10 15:15:44,S,14207,2135,26,Crédito (Interno) (2),,8894,2025-04-10 15:15:44
14208,2025-04-10 15:25:26,S,14208,2580,1,Reserva (7),,1315,2025-04-10 15:25:26
14209,2025-04-10 15:25:56,S,14209,2580,20,Negociação (5),,0,2025-04-10 15:25:56
14210,2025-04-10 15:40:04,S,14210,2280,1,Reserva (7),,113793,2025-04-10 15:40:04
14211,2025-04-10 15:41:25,S,14211,2283,1,Reserva (7),,113793,2025-04-10 15:41:25
14212,2025-04-10 15:47:35,S,14212,2569,1,Reserva (7),,8762,2025-04-10 15:47:35
14213,2025-04-10 16:00:08,S,14213,2480,24,Contrato - Assinatura (5),,14348,2025-04-10 16:00:08
14214,2025-04-10 16:00:19,S,14214,2479,24,Contrato - Assinatura (5),,14348,2025-04-10 16:00:19
14215,2025-04-10 16:00:31,S,14215,2478,24,Contrato - Assinatura (5),,14349,2025-04-10 16:00:31
14216,2025-04-10 16:00:44,S,14216,2466,24,Contrato - Assinatura (5),,14350,2025-04-10 16:00:44
14217,2025-04-10 16:00:56,S,14217,2465,24,Contrato - Assinatura (5),,14351,2025-04-10 16:00:56
14218,2025-04-10 16:01:09,S,14218,2464,24,Contrato - Assinatura (5),,14351,2025-04-10 16:01:09
14219,2025-04-10 16:01:22,S,14219,2463,24,Contrato - Assinatura (5),,14352,2025-04-10 16:01:22
14220,2025-04-10 16:01:33,S,14220,2462,24,Contrato - Assinatura (5),,14352,2025-04-10 16:01:33
14221,2025-04-10 16:22:26,S,14221,2282,20,Negociação (5),,1421,2025-04-10 16:22:26
14222,2025-04-10 16:25:41,S,14222,1939,19,Crédito (CEF) (3),,2822,2025-04-10 16:25:41
14223,2025-04-10 16:43:07,S,14223,2201,20,Negociação (5),,43449,2025-04-10 16:43:07
14224,2025-04-10 17:05:42,S,14224,1909,1,Reserva (7),,14622,2025-04-10 17:05:42
14225,2025-04-10 17:07:00,S,14225,1910,20,Negociação (5),,23372,2025-04-10 17:07:00
14226,2025-04-10 17:12:37,S,14226,2316,1,Reserva (7),,14624,2025-04-10 17:12:37
14227,2025-04-10 17:14:20,S,14227,2278,1,Reserva (7),,113887,2025-04-10 17:14:20
14228,2025-04-10 17:20:21,S,14228,2471,24,Contrato - Assinatura (5),,3428,2025-04-10 17:20:21
14229,2025-04-10 17:20:48,S,14229,2470,24,Contrato - Assinatura (5),,3399,2025-04-10 17:20:48
14230,2025-04-10 17:40:20,S,14230,2085,20,Negociação (5),,43476,2025-04-10 17:40:20
14231,2025-04-10 17:50:26,S,14231,2279,1,Reserva (7),,113923,2025-04-10 17:50:26
14232,2025-04-10 17:52:40,S,14232,2253,1,Reserva (7),,113929,2025-04-10 17:52:40
14233,2025-04-11 08:34:41,S,14233,2409,1,Reserva (7),,74541,2025-04-11 08:34:41
14234,2025-04-11 08:56:52,S,14234,2478,20,Negociação (5),,1016,2025-04-11 08:56:52
14235,2025-04-11 09:15:09,S,14235,1964,26,Crédito (Interno) (2),,4332,2025-04-11 09:15:09
14236,2025-04-11 09:25:16,S,14236,2241,1,Reserva (7),,114863,2025-04-11 09:25:16
14237,2025-04-11 09:54:39,S,14237,2574,1,Reserva (7),,4400,2025-04-11 09:54:39
14238,2025-04-11 10:00:25,S,14238,2580,23,Análise de proposta (Diretoria) (1),,1114,2025-04-11 10:00:25
14239,2025-04-11 10:03:42,S,14239,2282,23,Análise de proposta (Diretoria) (1),,1061,2025-04-11 10:03:42
14240,2025-04-11 10:06:34,S,14240,2201,23,Análise de proposta (Diretoria) (1),,1043,2025-04-11 10:06:34
14241,2025-04-11 10:10:08,S,14241,2085,23,Análise de proposta (Diretoria) (1),,989,2025-04-11 10:10:08
14242,2025-04-11 10:11:26,S,14242,2572,23,Análise de proposta (Diretoria) (1),,1343,2025-04-11 10:11:26
14243,2025-04-11 10:11:46,S,14243,2574,20,Negociação (5),,17,2025-04-11 10:11:46
14244,2025-04-11 10:12:36,S,14244,2573,1,Reserva (7),,4419,2025-04-11 10:12:36
14245,2025-04-11 10:12:38,S,14245,2573,20,Negociação (5),,0,2025-04-11 10:12:38
14246,2025-04-11 10:19:52,S,14246,2524,19,Crédito (CEF) (3),,1480,2025-04-11 10:19:52
14247,2025-04-11 10:38:11,S,14247,2266,19,Crédito (CEF) (3),,1327,2025-04-11 10:38:11
14248,2025-04-11 10:52:57,S,14248,2574,23,Análise de proposta (Diretoria) (1),,41,2025-04-11 10:52:57
14249,2025-04-11 10:54:03,S,14249,2573,23,Análise de proposta (Diretoria) (1),,41,2025-04-11 10:54:03
14250,2025-04-11 10:55:28,S,14250,2524,20,Negociação (5),,35,2025-04-11 10:55:28
14251,2025-04-11 11:06:49,S,14251,2047,16,Contrato - Elaboração (2),,2915,2025-04-11 11:06:49
14252,2025-04-11 11:06:59,S,14252,2006,16,Contrato - Elaboração (2),,2887,2025-04-11 11:06:59
14253,2025-04-11 11:09:38,S,14253,2574,26,Crédito (Interno) (2),,16,2025-04-11 11:09:38
14254,2025-04-11 11:11:19,S,14254,2573,26,Crédito (Interno) (2),,17,2025-04-11 11:11:19
14255,2025-04-11 11:17:00,S,14255,2580,26,Crédito (Interno) (2),,76,2025-04-11 11:17:00
14256,2025-04-11 11:23:48,S,14256,2503,19,Crédito (CEF) (3),,1442,2025-04-11 11:23:48
14257,2025-04-11 11:41:43,S,14257,2282,26,Crédito (Interno) (2),,98,2025-04-11 11:41:43
14258,2025-04-11 13:40:04,S,14258,2524,23,Análise de proposta (Diretoria) (1),,164,2025-04-11 13:40:04
14259,2025-04-11 15:12:09,S,14259,2569,19,Crédito (CEF) (3),,1404,2025-04-11 15:12:09
14260,2025-04-11 15:26:19,S,14260,2282,20,Negociação (5),,224,2025-04-11 15:26:19
14261,2025-04-11 15:28:17,S,14261,2569,20,Negociação (5),,16,2025-04-11 15:28:17
14262,2025-04-11 15:28:28,S,14262,2569,1,Reserva (7),,0,2025-04-11 15:28:28
14263,2025-04-11 15:28:40,S,14263,1983,20,Negociação (5),,3114,2025-04-11 15:28:40
14264,2025-04-11 15:31:45,S,14264,2569,19,Crédito (CEF) (3),,3,2025-04-11 15:31:45
14265,2025-04-11 16:01:21,S,14265,2282,23,Análise de proposta (Diretoria) (1),,35,2025-04-11 16:01:21
14266,2025-04-11 16:02:00,S,14266,1983,23,Análise de proposta (Diretoria) (1),,33,2025-04-11 16:02:00
14267,2025-04-11 16:53:21,S,14267,2506,1,Reserva (7),,16044,2025-04-11 16:53:21
14268,2025-04-11 16:55:11,S,14268,2392,1,Reserva (7),,16046,2025-04-11 16:55:11
14269,2025-04-11 17:26:18,S,14269,2577,19,Crédito (CEF) (3),,4330,2025-04-11 17:26:18
14270,2025-04-11 17:52:09,S,14270,2478,1,Reserva (7),,535,2025-04-11 17:52:09
14271,2025-04-11 17:52:13,S,14271,2478,20,Negociação (5),,0,2025-04-11 17:52:13
14272,2025-04-11 18:07:07,S,14272,2561,1,Reserva (7),,11984,2025-04-11 18:07:07
14273,2025-04-12 10:20:37,S,14273,2576,1,Reserva (7),,5672,2025-04-12 10:20:37
14274,2025-04-12 10:20:41,S,14274,2576,20,Negociação (5),,0,2025-04-12 10:20:41
14275,2025-04-12 10:21:58,S,14275,2576,23,Análise de proposta (Diretoria) (1),,1,2025-04-12 10:21:58
14276,2025-04-12 10:26:40,S,14276,2576,20,Negociação (5),,4,2025-04-12 10:26:40
14277,2025-04-12 10:42:35,S,14277,2576,1,Reserva (7),,15,2025-04-12 10:42:35
14278,2025-04-12 10:42:39,S,14278,2576,20,Negociação (5),,0,2025-04-12 10:42:39
14279,2025-04-12 10:43:02,S,14279,2437,1,Reserva (7),,66023,2025-04-12 10:43:02
14280,2025-04-12 10:43:06,S,14280,2437,20,Negociação (5),,0,2025-04-12 10:43:06
14281,2025-04-12 10:43:25,S,14281,2436,1,Reserva (7),,66025,2025-04-12 10:43:25
14282,2025-04-12 10:43:29,S,14282,2436,20,Negociação (5),,0,2025-04-12 10:43:29
14283,2025-04-12 10:48:46,S,14283,2479,20,Negociação (5),,2568,2025-04-12 10:48:46
14284,2025-04-12 11:04:22,S,14284,2479,1,Reserva (7),,15,2025-04-12 11:04:22
14285,2025-04-14 08:46:21,S,14285,2574,16,Contrato - Elaboração (2),,4176,2025-04-14 08:46:21
14286,2025-04-14 08:46:22,S,14286,1921,26,Crédito (Interno) (2),,8320,2025-04-14 08:46:22
14287,2025-04-14 08:46:43,S,14287,2573,16,Contrato - Elaboração (2),,4175,2025-04-14 08:46:43
14288,2025-04-14 09:14:28,S,14288,2209,26,Crédito (Interno) (2),,5805,2025-04-14 09:14:28
