referencia,referencia_data,ativo,idtempo,idreserva,idsituacao,situacao,sigla,tempo,data_cad
13830,2025-04-03 16:19:28,S,13830,2154,23,Análise de proposta (Diretoria) (1),,21,2025-04-03 16:19:28
13831,2025-04-03 16:20:35,S,13831,2141,23,Análise de proposta (Diretoria) (1),,20,2025-04-03 16:20:35
13832,2025-04-03 16:24:40,S,13832,2544,20,Negociação (5),,4295,2025-04-03 16:24:40
13833,2025-04-03 16:26:28,S,13833,2299,20,Negociação (5),,44694,2025-04-03 16:26:28
13834,2025-04-03 16:42:20,S,13834,2543,20,Negociação (5),,1563,2025-04-03 16:42:20
13835,2025-04-03 16:42:53,S,13835,2543,23,Análise de proposta (Diretoria) (1),,0,2025-04-03 16:42:53
13836,2025-04-03 16:43:20,S,13836,2543,20,Negociação (5),,0,2025-04-03 16:43:20
13837,2025-04-03 16:57:21,S,13837,2560,19,Crédito (CEF) (3),,374,2025-04-03 16:57:21
13838,2025-04-03 16:57:27,S,13838,2558,23,Análise de proposta (Diretoria) (1),,80,2025-04-03 16:57:27
13839,2025-04-03 16:57:34,S,13839,1912,23,Análise de proposta (Diretoria) (1),,53,2025-04-03 16:57:34
13840,2025-04-03 17:00:03,S,13840,2082,20,Negociação (5),,1611,2025-04-03 17:00:03
13841,2025-04-03 17:03:55,S,13841,1912,20,Negociação (5),,6,2025-04-03 17:03:55
13842,2025-04-03 17:04:17,S,13842,1912,23,Análise de proposta (Diretoria) (1),,0,2025-04-03 17:04:17
13843,2025-04-03 17:04:47,S,13843,1912,20,Negociação (5),,0,2025-04-03 17:04:47
13844,2025-04-03 17:08:10,S,13844,2180,20,Negociação (5),,11741,2025-04-03 17:08:10
13845,2025-04-03 17:20:03,S,13845,2558,20,Negociação (5),,22,2025-04-03 17:20:03
13846,2025-04-03 17:29:07,S,13846,2539,20,Negociação (5),,9029,2025-04-03 17:29:07
13847,2025-04-03 17:30:57,S,13847,2539,23,Análise de proposta (Diretoria) (1),,1,2025-04-03 17:30:57
13848,2025-04-03 17:31:33,S,13848,2453,26,Crédito (Interno) (2),,73,2025-04-03 17:31:33
13849,2025-04-03 17:32:04,S,13849,2154,26,Crédito (Interno) (2),,72,2025-04-03 17:32:04
13850,2025-04-03 17:32:24,S,13850,2141,26,Crédito (Interno) (2),,71,2025-04-03 17:32:24
13851,2025-04-03 17:36:55,S,13851,2539,20,Negociação (5),,5,2025-04-03 17:36:55
13852,2025-04-03 17:41:44,S,13852,2558,23,Análise de proposta (Diretoria) (1),,21,2025-04-03 17:41:44
13853,2025-04-03 18:18:10,S,13853,2504,24,Contrato - Assinatura (5),,245,2025-04-03 18:18:10
13854,2025-04-03 19:15:43,S,13854,2527,24,Contrato - Assinatura (5),,3219,2025-04-03 19:15:43
13855,2025-04-04 08:23:15,S,13855,2558,26,Crédito (Interno) (2),,881,2025-04-04 08:23:15
13856,2025-04-04 08:29:17,S,13856,2504,27,Contrato Assinado (1),,851,2025-04-04 08:29:17
13857,2025-04-04 08:45:19,S,13857,2527,27,Contrato Assinado (1),,809,2025-04-04 08:45:19
13858,2025-04-04 09:02:46,S,13858,2180,23,Análise de proposta (Diretoria) (1),,954,2025-04-04 09:02:46
13859,2025-04-04 09:03:51,S,13859,2269,1,Reserva (7),,104758,2025-04-04 09:03:51
13860,2025-04-04 09:06:38,S,13860,2180,20,Negociação (5),,3,2025-04-04 09:06:38
13861,2025-04-04 09:08:37,S,13861,2527,17,Sienge,,23,2025-04-04 09:08:37
13862,2025-04-04 09:14:09,S,13862,2551,23,Análise de proposta (Diretoria) (1),,1024,2025-04-04 09:14:09
13863,2025-04-04 09:19:12,S,13863,2551,20,Negociação (5),,5,2025-04-04 09:19:12
13864,2025-04-04 10:04:18,S,13864,2352,20,Negociação (5),,12541,2025-04-04 10:04:18
13865,2025-04-04 10:07:12,S,13865,2312,20,Negociação (5),,35961,2025-04-04 10:07:12
13866,2025-04-04 10:08:26,S,13866,2133,20,Negociação (5),,35982,2025-04-04 10:08:26
13867,2025-04-04 10:21:17,S,13867,2361,20,Negociação (5),,4060,2025-04-04 10:21:17
13868,2025-04-04 10:23:26,S,13868,1981,20,Negociação (5),,23076,2025-04-04 10:23:26
13869,2025-04-04 10:26:23,S,13869,2544,23,Análise de proposta (Diretoria) (1),,1081,2025-04-04 10:26:23
13870,2025-04-04 10:29:40,S,13870,2135,20,Negociação (5),,34412,2025-04-04 10:29:40
13871,2025-04-04 10:31:18,S,13871,2544,20,Negociação (5),,4,2025-04-04 10:31:18
13872,2025-04-04 10:40:05,S,13872,1943,20,Negociação (5),,14366,2025-04-04 10:40:05
13873,2025-04-04 10:49:32,S,13873,2544,23,Análise de proposta (Diretoria) (1),,18,2025-04-04 10:49:32
13874,2025-04-04 10:50:49,S,13874,2543,23,Análise de proposta (Diretoria) (1),,1087,2025-04-04 10:50:49
13875,2025-04-04 10:52:25,S,13875,1951,20,Negociação (5),,51494,2025-04-04 10:52:25
13876,2025-04-04 10:53:31,S,13876,2361,23,Análise de proposta (Diretoria) (1),,32,2025-04-04 10:53:31
13877,2025-04-04 10:55:09,S,13877,2352,23,Análise de proposta (Diretoria) (1),,50,2025-04-04 10:55:09
13878,2025-04-04 10:56:40,S,13878,2312,23,Análise de proposta (Diretoria) (1),,49,2025-04-04 10:56:40
13879,2025-04-04 10:58:55,S,13879,2299,23,Análise de proposta (Diretoria) (1),,1112,2025-04-04 10:58:55
13880,2025-04-04 11:00:14,S,13880,2180,23,Análise de proposta (Diretoria) (1),,113,2025-04-04 11:00:14
13881,2025-04-04 11:01:30,S,13881,2135,23,Análise de proposta (Diretoria) (1),,31,2025-04-04 11:01:30
13882,2025-04-04 11:02:31,S,13882,2133,23,Análise de proposta (Diretoria) (1),,54,2025-04-04 11:02:31
13883,2025-04-04 11:03:11,S,13883,2357,1,Reserva (7),,85986,2025-04-04 11:03:11
13884,2025-04-04 11:03:18,S,13884,2082,23,Análise de proposta (Diretoria) (1),,1083,2025-04-04 11:03:18
13885,2025-04-04 11:06:26,S,13885,1943,23,Análise de proposta (Diretoria) (1),,26,2025-04-04 11:06:26
13886,2025-04-04 11:06:36,S,13886,1921,20,Negociação (5),,36067,2025-04-04 11:06:36
13887,2025-04-04 11:07:37,S,13887,1912,23,Análise de proposta (Diretoria) (1),,1082,2025-04-04 11:07:37
13888,2025-04-04 11:08:40,S,13888,1940,20,Negociação (5),,31303,2025-04-04 11:08:40
13889,2025-04-04 11:09:14,S,13889,1951,23,Análise de proposta (Diretoria) (1),,16,2025-04-04 11:09:14
13890,2025-04-04 11:10:11,S,13890,1921,23,Análise de proposta (Diretoria) (1),,3,2025-04-04 11:10:11
13891,2025-04-04 11:12:07,S,13891,1940,23,Análise de proposta (Diretoria) (1),,3,2025-04-04 11:12:07
13892,2025-04-04 11:15:05,S,13892,2554,19,Crédito (CEF) (3),,2398,2025-04-04 11:15:05
13893,2025-04-04 11:15:46,S,13893,2554,20,Negociação (5),,0,2025-04-04 11:15:46
13894,2025-04-04 11:38:00,S,13894,2554,23,Análise de proposta (Diretoria) (1),,22,2025-04-04 11:38:00
